SN,PART #,DESCRIPTION,UOM,BRAND,PRICE,CURRENCY
1,0.1001,"CYTOSCAN AIR TOKENS, 24 EACH",EACH,THERMOFISHER,499.2,USD
2,00.1001-RR,"CYTOSCAN AIR TOKENS, 24 RR EACH",EACH,THERMOFISHER,"1,998.75",USD
3,0.1003,"CYTOSCAN AIR TOKENS, 96 EACH",EACH,THERMOFISHER,"1,995.50",USD
4,00.1003-RR,"CYTOSCAN AIR TOKENS, 96 RR EACH",EACH,THERMOFISHER,"7,995.00",USD
5,0.1004,"CYTOSCAN AIR TOKENS, 384 EACH",EACH,THERMOFISHER,"7,982.00",USD
6,00.1004-RR,"CYTOSCAN AIR TOKENS, 384 RR EACH",EACH,THERMOFISHER,"31,980.00",USD
7,0.105,SVC- SPECIAL HUMAN ANALYSIS SERVICE,SERVICE,THERMOFISHER,"4,225.00",USD
8,0.1051,SVC- SPECIAL NONHUMAN ANALYSIS SERVICE,SERVICE,THERMOFISHER,"4,225.00",USD
9,0.1052,SAMPLESSHIPUSA EA,EA,THERMOFISHER,78,USD
10,0.1053,SAMPLESSHIPDK EA,EA,THERMOFISHER,169.65,USD
11,0.1064,BLOODGENOMIX REP OUTPUT 1X EACH,EACH,THERMOFISHER,5.85,USD
12,0.1065,BLOODGENOMIX REP OUTPUT 768X EACH,EACH,THERMOFISHER,"4,492.80",USD
13,0.398,MICROARRAY FIELD TRAINING 1DAY EACH,EACH,THERMOFISHER,"1,933.75",USD
14,0.747,MYGENECHIP RESEQ 169F MASK FEE EACH,EACH,THERMOFISHER,"23,081.50",USD
15,0.75,MYGENECHIP RESEQ 100F MASK FEE EACH,EACH,THERMOFISHER,"27,696.50",USD
16,0.802,CYTOSCAN NEW USER TRAINING 4D EACH,EACH,THERMOFISHER,"9,977.50",USD
17,0.803,CYTOSCAN UPGRADE TRAINING 1.5D EACH,EACH,THERMOFISHER,"2,866.50",USD
18,0.804,AXIOM NEW USER TRAINING 5D EACH,EACH,THERMOFISHER,"11,901.50",USD
19,0.823,SNP6 TRAINING GCS3000 EACH,EACH,THERMOFISHER,"9,997.00",USD
20,0.824,GTMC EXPRESSION TRAINING 4D EACH,EACH,THERMOFISHER,"9,977.50",USD
21,0.825,GCS3000 EXPRESSION TRAINING 3D EACH,EACH,THERMOFISHER,"5,700.50",USD
22,0.826,MICROARRAY TRAINING CENTER 1D EACH,EACH,THERMOFISHER,"1,033.50",USD
23,0.827,WT HT AUTO TRAINING GCS3000 EACH,EACH,THERMOFISHER,"8,281.00",USD
24,0.828,PROPEL INSTALLATION WORKFLOW EACH,EACH,THERMOFISHER,"5,700.50",USD
